Date,Country/Region,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered,WHO Region
1/22/20,US,1,0,0,1,0,0,0,Americas
1/23/20,US,1,0,0,1,0,0,0,Americas
1/24/20,France,2,0,0,2,2,0,0,Europe
1/24/20,US,2,0,0,2,1,0,0,Americas
1/25/20,France,3,0,0,3,1,0,0,Europe
1/25/20,US,2,0,0,2,0,0,0,Americas
1/26/20,France,3,0,0,3,0,0,0,Europe
1/26/20,US,5,0,0,5,3,0,0,Americas
1/27/20,France,3,0,0,3,0,0,0,Europe
1/27/20,Germany,1,0,0,1,1,0,0,Europe
1/27/20,US,5,0,0,5,0,0,0,Americas
1/28/20,France,4,0,0,4,1,0,0,Europe
1/28/20,Germany,4,0,0,4,3,0,0,Europe
1/28/20,US,5,0,0,5,0,0,0,Americas
1/29/20,France,5,0,0,5,1,0,0,Europe
1/29/20,Germany,4,0,0,4,0,0,0,Europe
1/29/20,US,5,0,0,5,0,0,0,Americas
1/30/20,France,5,0,0,5,0,0,0,Europe
1/30/20,Germany,4,0,0,4,0,0,0,Europe
1/30/20,India,1,0,0,1,1,0,0,South-East Asia
1/30/20,US,5,0,0,5,0,0,0,Americas
1/31/20,France,5,0,0,5,0,0,0,Europe
1/31/20,Germany,5,0,0,5,1,0,0,Europe
1/31/20,India,1,0,0,1,0,0,0,South-East Asia
1/31/20,Italy,2,0,0,2,2,0,0,Europe
1/31/20,Russia,2,0,0,2,2,0,0,Europe
1/31/20,US,7,0,0,7,2,0,0,Americas
1/31/20,United Kingdom,2,0,0,2,2,0,0,Europe
2/1/20,France,6,0,0,6,1,0,0,Europe
2/1/20,Germany,8,0,0,8,3,0,0,Europe
2/1/20,India,1,0,0,1,0,0,0,South-East Asia
2/1/20,Italy,2,0,0,2,0,0,0,Europe
2/1/20,Russia,2,0,0,2,0,0,0,Europe
2/1/20,Spain,1,0,0,1,1,0,0,Europe
2/1/20,US,8,0,0,8,1,0,0,Americas
2/1/20,United Kingdom,2,0,0,2,0,0,0,Europe
2/2/20,France,6,0,0,6,0,0,0,Europe
2/2/20,Germany,10,0,0,10,2,0,0,Europe
2/2/20,India,2,0,0,2,1,0,0,South-East Asia
2/2/20,Italy,2,0,0,2,0,0,0,Europe
2/2/20,Russia,2,0,0,2,0,0,0,Europe
2/2/20,Spain,1,0,0,1,0,0,0,Europe
2/2/20,US,8,0,0,8,0,0,0,Americas
2/2/20,United Kingdom,2,0,0,2,0,0,0,Europe
2/3/20,France,6,0,0,6,0,0,0,Europe
2/3/20,Germany,12,0,0,12,2,0,0,Europe
2/3/20,India,3,0,0,3,1,0,0,South-East Asia
2/3/20,Italy,2,0,0,2,0,0,0,Europe
2/3/20,Russia,2,0,0,2,0,0,0,Europe
2/3/20,Spain,1,0,0,1,0,0,0,Europe
2/3/20,US,11,0,0,11,3,0,0,Americas
2/3/20,United Kingdom,8,0,0,8,6,0,0,Europe
2/4/20,France,6,0,0,6,0,0,0,Europe
2/4/20,Germany,12,0,0,12,0,0,0,Europe
2/4/20,India,3,0,0,3,0,0,0,South-East Asia
2/4/20,Italy,2,0,0,2,0,0,0,Europe
2/4/20,Russia,2,0,0,2,0,0,0,Europe
2/4/20,Spain,1,0,0,1,0,0,0,Europe
2/4/20,US,11,0,0,11,0,0,0,Americas
2/4/20,United Kingdom,8,0,0,8,0,0,0,Europe
2/5/20,France,6,0,0,6,0,0,0,Europe
2/5/20,Germany,12,0,0,12,0,0,0,Europe
2/5/20,India,3,0,0,3,0,0,0,South-East Asia
2/5/20,Italy,2,0,0,2,0,0,0,Europe
2/5/20,Russia,2,0,0,2,0,0,0,Europe
2/5/20,Spain,1,0,0,1,0,0,0,Europe
2/5/20,US,11,0,0,11,0,0,0,Americas
2/5/20,United Kingdom,9,0,0,9,1,0,0,Europe
2/6/20,France,6,0,0,6,0,0,0,Europe
2/6/20,Germany,12,0,0,12,0,0,0,Europe
2/6/20,India,3,0,0,3,0,0,0,South-East Asia
2/6/20,Italy,2,0,0,2,0,0,0,Europe
2/6/20,Russia,2,0,0,2,0,0,0,Europe
2/6/20,Spain,1,0,0,1,0,0,0,Europe
2/6/20,US,11,0,0,11,0,0,0,Americas
2/6/20,United Kingdom,9,0,0,9,0,0,0,Europe
2/7/20,France,6,0,0,6,0,0,0,Europe
2/7/20,Germany,13,0,0,13,1,0,0,Europe
2/7/20,India,3,0,0,3,0,0,0,South-East Asia
2/7/20,Italy,3,0,0,3,1,0,0,Europe
2/7/20,Russia,2,0,0,2,0,0,0,Europe
2/7/20,Spain,1,0,0,1,0,0,0,Europe
2/7/20,US,11,0,0,11,0,0,0,Americas
2/7/20,United Kingdom,9,0,0,9,0,0,0,Europe
2/8/20,France,11,0,0,11,5,0,0,Europe
2/8/20,Germany,13,0,0,13,0,0,0,Europe
2/8/20,India,3,0,0,3,0,0,0,South-East Asia
2/8/20,Italy,3,0,0,3,0,0,0,Europe
2/8/20,Russia,2,0,0,2,0,0,0,Europe
2/8/20,Spain,1,0,0,1,0,0,0,Europe
2/8/20,US,11,0,0,11,0,0,0,Americas
2/8/20,United Kingdom,13,0,0,13,4,0,0,Europe
2/9/20,France,11,0,0,11,0,0,0,Europe
