,Date,Country/Region,Confirmed,Deaths,WHO Region_x,Population,Total Cases,Total Deaths,% of Cases,% of Cases that Die,% of Population that Dies,_merge,Cases Death Rate,Country Cases Death Rate,country_flag
0,1/22/20,US,1,0,Americas,331198130,5032179,162804,1.519%,3.235%,0.049%,both,0.0,0.038662026566600234,Medium Death Rate
1,1/23/20,US,1,0,Americas,331198130,5032179,162804,1.519%,3.235%,0.049%,both,0.0,0.038662026566600234,Medium Death Rate
2,1/24/20,US,2,0,Americas,331198130,5032179,162804,1.519%,3.235%,0.049%,both,0.0,0.038662026566600234,Medium Death Rate
3,1/25/20,US,2,0,Americas,331198130,5032179,162804,1.519%,3.235%,0.049%,both,0.0,0.038662026566600234,Medium Death Rate
4,1/26/20,US,5,0,Americas,331198130,5032179,162804,1.519%,3.235%,0.049%,both,0.0,0.038662026566600234,Medium Death Rate
5,1/27/20,US,5,0,Americas,331198130,5032179,162804,1.519%,3.235%,0.049%,both,0.0,0.038662026566600234,Medium Death Rate
6,1/28/20,US,5,0,Americas,331198130,5032179,162804,1.519%,3.235%,0.049%,both,0.0,0.038662026566600234,Medium Death Rate
7,1/29/20,US,5,0,Americas,331198130,5032179,162804,1.519%,3.235%,0.049%,both,0.0,0.038662026566600234,Medium Death Rate
8,1/30/20,US,5,0,Americas,331198130,5032179,162804,1.519%,3.235%,0.049%,both,0.0,0.038662026566600234,Medium Death Rate
9,1/31/20,US,7,0,Americas,331198130,5032179,162804,1.519%,3.235%,0.049%,both,0.0,0.038662026566600234,Medium Death Rate
10,2/1/20,US,8,0,Americas,331198130,5032179,162804,1.519%,3.235%,0.049%,both,0.0,0.038662026566600234,Medium Death Rate
11,2/2/20,US,8,0,Americas,331198130,5032179,162804,1.519%,3.235%,0.049%,both,0.0,0.038662026566600234,Medium Death Rate
12,2/3/20,US,11,0,Americas,331198130,5032179,162804,1.519%,3.235%,0.049%,both,0.0,0.038662026566600234,Medium Death Rate
13,2/4/20,US,11,0,Americas,331198130,5032179,162804,1.519%,3.235%,0.049%,both,0.0,0.038662026566600234,Medium Death Rate
14,2/5/20,US,11,0,Americas,331198130,5032179,162804,1.519%,3.235%,0.049%,both,0.0,0.038662026566600234,Medium Death Rate
15,2/6/20,US,11,0,Americas,331198130,5032179,162804,1.519%,3.235%,0.049%,both,0.0,0.038662026566600234,Medium Death Rate
16,2/7/20,US,11,0,Americas,331198130,5032179,162804,1.519%,3.235%,0.049%,both,0.0,0.038662026566600234,Medium Death Rate
17,2/8/20,US,11,0,Americas,331198130,5032179,162804,1.519%,3.235%,0.049%,both,0.0,0.038662026566600234,Medium Death Rate
18,2/9/20,US,11,0,Americas,331198130,5032179,162804,1.519%,3.235%,0.049%,both,0.0,0.038662026566600234,Medium Death Rate
19,2/10/20,US,11,0,Americas,331198130,5032179,162804,1.519%,3.235%,0.049%,both,0.0,0.038662026566600234,Medium Death Rate
20,2/11/20,US,12,0,Americas,331198130,5032179,162804,1.519%,3.235%,0.049%,both,0.0,0.038662026566600234,Medium Death Rate
21,2/12/20,US,12,0,Americas,331198130,5032179,162804,1.519%,3.235%,0.049%,both,0.0,0.038662026566600234,Medium Death Rate
22,2/13/20,US,13,0,Americas,331198130,5032179,162804,1.519%,3.235%,0.049%,both,0.0,0.038662026566600234,Medium Death Rate
23,2/14/20,US,13,0,Americas,331198130,5032179,162804,1.519%,3.235%,0.049%,both,0.0,0.038662026566600234,Medium Death Rate
24,2/15/20,US,13,0,Americas,331198130,5032179,162804,1.519%,3.235%,0.049%,both,0.0,0.038662026566600234,Medium Death Rate
25,2/16/20,US,13,0,Americas,331198130,5032179,162804,1.519%,3.235%,0.049%,both,0.0,0.038662026566600234,Medium Death Rate
26,2/17/20,US,13,0,Americas,331198130,5032179,162804,1.519%,3.235%,0.049%,both,0.0,0.038662026566600234,Medium Death Rate
27,2/18/20,US,13,0,Americas,331198130,5032179,162804,1.519%,3.235%,0.049%,both,0.0,0.038662026566600234,Medium Death Rate
28,2/19/20,US,13,0,Americas,331198130,5032179,162804,1.519%,3.235%,0.049%,both,0.0,0.038662026566600234,Medium Death Rate
29,2/20/20,US,13,0,Americas,331198130,5032179,162804,1.519%,3.235%,0.049%,both,0.0,0.038662026566600234,Medium Death Rate
30,2/21/20,US,15,0,Americas,331198130,5032179,162804,1.519%,3.235%,0.049%,both,0.0,0.038662026566600234,Medium Death Rate
31,2/22/20,US,15,0,Americas,331198130,5032179,162804,1.519%,3.235%,0.049%,both,0.0,0.038662026566600234,Medium Death Rate
32,2/23/20,US,15,0,Americas,331198130,5032179,162804,1.519%,3.235%,0.049%,both,0.0,0.038662026566600234,Medium Death Rate
33,2/24/20,US,15,0,Americas,331198130,5032179,162804,1.519%,3.235%,0.049%,both,0.0,0.038662026566600234,Medium Death Rate
34,2/25/20,US,15,0,Americas,331198130,5032179,162804,1.519%,3.235%,0.049%,both,0.0,0.038662026566600234,Medium Death Rate
35,2/26/20,US,15,0,Americas,331198130,5032179,162804,1.519%,3.235%,0.049%,both,0.0,0.038662026566600234,Medium Death Rate
36,2/27/20,US,16,0,Americas,331198130,5032179,162804,1.519%,3.235%,0.049%,both,0.0,0.038662026566600234,Medium Death Rate
37,2/28/20,US,16,0,Americas,331198130,5032179,162804,1.519%,3.235%,0.049%,both,0.0,0.038662026566600234,Medium Death Rate
38,2/29/20,US,24,1,Americas,331198130,5032179,162804,1.519%,3.235%,0.049%,both,0.041666666666666664,0.038662026566600234,Medium Death Rate
39,3/1/20,US,30,1,Americas,331198130,5032179,162804,1.519%,3.235%,0.049%,both,0.03333333333333333,0.038662026566600234,Medium Death Rate
40,3/2/20,US,53,6,Americas,331198130,5032179,162804,1.519%,3.235%,0.049%,both,0.11320754716981132,0.038662026566600234,Medium Death Rate
41,3/3/20,US,73,7,Americas,331198130,5032179,162804,1.519%,3.235%,0.049%,both,0.0958904109589041,0.038662026566600234,Medium Death Rate
42,3/4/20,US,104,11,Americas,331198130,5032179,162804,1.519%,3.235%,0.049%,both,0.10576923076923077,0.038662026566600234,Medium Death Rate
43,3/5/20,US,174,12,Americas,331198130,5032179,162804,1.519%,3.235%,0.049%,both,0.06896551724137931,0.038662026566600234,Medium Death Rate
44,3/6/20,US,222,14,Americas,331198130,5032179,162804,1.519%,3.235%,0.049%,both,0.06306306306306306,0.038662026566600234,Medium Death Rate
45,3/7/20,US,337,17,Americas,331198130,5032179,162804,1.519%,3.235%,0.049%,both,0.050445103857566766,0.038662026566600234,Medium Death Rate
46,3/8/20,US,451,21,Americas,331198130,5032179,162804,1.519%,3.235%,0.049%,both,0.04656319290465632,0.038662026566600234,Medium Death Rate
47,3/9/20,US,519,22,Americas,331198130,5032179,162804,1.519%,3.235%,0.049%,both,0.04238921001926782,0.038662026566600234,Medium Death Rate
48,3/10/20,US,711,28,Americas,331198130,5032179,162804,1.519%,3.235%,0.049%,both,0.03938115330520394,0.038662026566600234,Medium Death Rate
49,3/11/20,US,1109,33,Americas,331198130,5032179,162804,1.519%,3.235%,0.049%,both,0.029756537421100092,0.038662026566600234,Medium Death Rate
50,3/12/20,US,1561,43,Americas,331198130,5032179,162804,1.519%,3.235%,0.049%,both,0.02754644458680333,0.038662026566600234,Medium Death Rate
51,3/13/20,US,2157,52,Americas,331198130,5032179,162804,1.519%,3.235%,0.049%,both,0.02410755679184052,0.038662026566600234,Medium Death Rate
52,3/14/20,US,2870,58,Americas,331198130,5032179,162804,1.519%,3.235%,0.049%,both,0.020209059233449476,0.038662026566600234,Medium Death Rate
53,3/15/20,US,2968,70,Americas,331198130,5032179,162804,1.519%,3.235%,0.049%,both,0.02358490566037736,0.038662026566600234,Medium Death Rate
54,3/16/20,US,4360,97,Americas,331198130,5032179,162804,1.519%,3.235%,0.049%,both,0.02224770642201835,0.038662026566600234,Medium Death Rate
55,3/17/20,US,6141,131,Americas,331198130,5032179,162804,1.519%,3.235%,0.049%,both,0.02133203061390653,0.038662026566600234,Medium Death Rate
56,3/18/20,US,8917,188,Americas,331198130,5032179,162804,1.519%,3.235%,0.049%,both,0.021083323987888303,0.038662026566600234,Medium Death Rate
57,3/19/20,US,14157,265,Americas,331198130,5032179,162804,1.519%,3.235%,0.049%,both,0.018718655082291445,0.038662026566600234,Medium Death Rate
58,3/20/20,US,19479,362,Americas,331198130,5032179,162804,1.519%,3.235%,0.049%,both,0.01858411622773243,0.038662026566600234,Medium Death Rate
59,3/21/20,US,25825,456,Americas,331198130,5032179,162804,1.519%,3.235%,0.049%,both,0.01765730880929332,0.038662026566600234,Medium Death Rate
60,3/22/20,US,33761,601,Americas,331198130,5032179,162804,1.519%,3.235%,0.049%,both,0.01780160540268357,0.038662026566600234,Medium Death Rate
61,3/23/20,US,43850,784,Americas,331198130,5032179,162804,1.519%,3.235%,0.049%,both,0.017879133409350056,0.038662026566600234,Medium Death Rate
62,3/24/20,US,54112,1021,Americas,331198130,5032179,162804,1.519%,3.235%,0.049%,both,0.01886827321111768,0.038662026566600234,Medium Death Rate
63,3/25/20,US,66055,1333,Americas,331198130,5032179,162804,1.519%,3.235%,0.049%,both,0.020180152902883962,0.038662026566600234,Medium Death Rate
64,3/26/20,US,84091,1746,Americas,331198130,5032179,162804,1.519%,3.235%,0.049%,both,0.02076322079651806,0.038662026566600234,Medium Death Rate
65,3/27/20,US,102276,2300,Americas,331198130,5032179,162804,1.519%,3.235%,0.049%,both,0.02248816926747233,0.038662026566600234,Medium Death Rate
66,3/28/20,US,122069,2934,Americas,331198130,5032179,162804,1.519%,3.235%,0.049%,both,0.0240355864306253,0.038662026566600234,Medium Death Rate
67,3/29/20,US,141205,3561,Americas,331198130,5032179,162804,1.519%,3.235%,0.049%,both,0.025218653730391984,0.038662026566600234,Medium Death Rate
68,3/30/20,US,162707,4381,Americas,331198130,5032179,162804,1.519%,3.235%,0.049%,both,0.02692570079959682,0.038662026566600234,Medium Death Rate
69,3/31/20,US,188724,5605,Americas,331198130,5032179,162804,1.519%,3.235%,0.049%,both,0.0296994552892054,0.038662026566600234,Medium Death Rate
70,4/1/20,US,214205,6846,Americas,331198130,5032179,162804,1.519%,3.235%,0.049%,both,0.03196003828108587,0.038662026566600234,Medium Death Rate
71,4/2/20,US,244610,8432,Americas,331198130,5032179,162804,1.519%,3.235%,0.049%,both,0.03447119905155145,0.038662026566600234,Medium Death Rate
72,4/3/20,US,276547,9747,Americas,331198130,5032179,162804,1.519%,3.235%,0.049%,both,0.03524536516396851,0.038662026566600234,Medium Death Rate
73,4/4/20,US,309699,11031,Americas,331198130,5032179,162804,1.519%,3.235%,0.049%,both,0.03561845533889357,0.038662026566600234,Medium Death Rate
74,4/5/20,US,337573,12470,Americas,331198130,5032179,162804,1.519%,3.235%,0.049%,both,0.036940158128760295,0.038662026566600234,Medium Death Rate
75,4/6/20,US,367215,14138,Americas,331198130,5032179,162804,1.519%,3.235%,0.049%,both,0.03850060591206786,0.038662026566600234,Medium Death Rate
76,4/7/20,US,397992,16447,Americas,331198130,5032179,162804,1.519%,3.235%,0.049%,both,0.04132495125530161,0.038662026566600234,Medium Death Rate
77,4/8/20,US,429686,18563,Americas,331198130,5032179,162804,1.519%,3.235%,0.049%,both,0.04320131444822498,0.038662026566600234,Medium Death Rate
78,4/9/20,US,464442,20638,Americas,331198130,5032179,162804,1.519%,3.235%,0.049%,both,0.044436119041774864,0.038662026566600234,Medium Death Rate
79,4/10/20,US,497943,22731,Americas,331198130,5032179,162804,1.519%,3.235%,0.049%,both,0.045649803290738096,0.038662026566600234,Medium Death Rate
80,4/11/20,US,527969,24777,Americas,331198130,5032179,162804,1.519%,3.235%,0.049%,both,0.04692889165841176,0.038662026566600234,Medium Death Rate
81,4/12/20,US,556522,26548,Americas,331198130,5032179,162804,1.519%,3.235%,0.049%,both,0.04770341513902415,0.038662026566600234,Medium Death Rate
82,4/13/20,US,581813,28376,Americas,331198130,5032179,162804,1.519%,3.235%,0.049%,both,0.04877168437281394,0.038662026566600234,Medium Death Rate
83,4/14/20,US,608878,30780,Americas,331198130,5032179,162804,1.519%,3.235%,0.049%,both,0.05055199892260847,0.038662026566600234,Medium Death Rate
84,4/15/20,US,637974,33329,Americas,331198130,5032179,162804,1.519%,3.235%,0.049%,both,0.052241940894143024,0.038662026566600234,Medium Death Rate
85,4/16/20,US,669272,35442,Americas,331198130,5032179,162804,1.519%,3.235%,0.049%,both,0.05295604776533308,0.038662026566600234,Medium Death Rate
86,4/17/20,US,701996,38056,Americas,331198130,5032179,162804,1.519%,3.235%,0.049%,both,0.05421113510618294,0.038662026566600234,Medium Death Rate
87,4/18/20,US,730337,40442,Americas,331198130,5032179,162804,1.519%,3.235%,0.049%,both,0.05537443673263165,0.038662026566600234,Medium Death Rate
88,4/19/20,US,756375,41671,Americas,331198130,5032179,162804,1.519%,3.235%,0.049%,both,0.055093042472318624,0.038662026566600234,Medium Death Rate
89,4/20/20,US,783716,43466,Americas,331198130,5032179,162804,1.519%,3.235%,0.049%,both,0.05546141714600697,0.038662026566600234,Medium Death Rate
90,4/21/20,US,809318,45923,Americas,331198130,5032179,162804,1.519%,3.235%,0.049%,both,0.05674283779676221,0.038662026566600234,Medium Death Rate
91,4/22/20,US,837422,48312,Americas,331198130,5032179,162804,1.519%,3.235%,0.049%,both,0.057691343193754165,0.038662026566600234,Medium Death Rate
92,4/23/20,US,871617,50749,Americas,331198130,5032179,162804,1.519%,3.235%,0.049%,both,0.058223967637161735,0.038662026566600234,Medium Death Rate
