Country/Region,Continent,Population,TotalCases,TotalDeaths,% of Population With Covid,% of Cases that Result in Death,Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,WHO Region
USA,North America,331198130,5032179,162804,1.519%,3.235%,15194,492,63139605,190640,Americas
Brazil,South America,212710692,2917562,98644,1.372%,3.381%,13716,464,13206188,62085,Americas
India,Asia,1381344997,2025409,41638,0.147%,2.056%,1466,30,22149351,16035,South-EastAsia
Russia,Europe,145940924,871894,14606,0.597%,1.675%,5974,100,29716907,203623,Europe
South Africa,Africa,59381566,538184,9604,0.906%,1.785%,9063,162,3149807,53044,Africa
Mexico,North America,129066160,462690,50517,0.358%,10.918%,3585,391,1056915,8189,Americas
Peru,South America,33016319,455409,20424,1.379%,4.485%,13793,619,2493429,75521,Americas
Chile,South America,19132514,366671,9889,1.916%,2.697%,19165,517,1760615,92022,Americas
Colombia,South America,50936262,357710,11939,0.702%,3.338%,7023,234,1801835,35374,Americas
Spain,Europe,46756648,354530,28500,0.758%,8.039%,7582,610,7064329,151087,Europe
Iran,Asia,84097623,320117,17976,0.381%,5.615%,3806,214,2612763,31068,MiddleEast
UK,Europe,67922029,308134,46413,0.454%,15.063%,4537,683,17515234,257873,Europe
Saudi Arabia,Asia,34865919,284226,3055,0.815%,1.075%,8152,88,3635705,104277,MiddleEast
Pakistan,Asia,221295851,281863,6035,0.127%,2.141%,1274,27,2058872,9304,MiddleEast
Bangladesh,Asia,164851401,249651,3306,0.151%,1.324%,1514,20,1225124,7432,South-EastAsia
Italy,Europe,60452568,249204,35187,0.412%,14.120%,4122,582,7099713,117443,Europe
Turkey,Asia,84428331,237265,5798,0.281%,2.444%,2810,69,5081802,60191,Europe
Argentina,South America,45236884,228195,4251,0.504%,1.863%,5044,94,794544,17564,Americas
Germany,Europe,83811260,215210,9252,0.257%,4.299%,2568,110,8586648,102452,Europe
France,Europe,65288306,195633,30312,0.300%,15.494%,2996,464,3992206,61147,Europe
Iraq,Asia,40306025,140603,5161,0.349%,3.671%,3488,128,1092741,27111,MiddleEast
Philippines,Asia,109722719,119460,2150,0.109%,1.800%,1089,20,1669996,15220,WesternPacific
Indonesia,Asia,273808365,118753,5521,0.043%,4.649%,434,20,1633156,5965,South-EastAsia
Canada,North America,37775022,118561,8966,0.314%,7.562%,3139,237,4319172,114339,Americas
Qatar,Asia,2807805,112092,178,3.992%,0.159%,39922,63,511000,181993,MiddleEast
Kazakhstan,Asia,18798667,95942,1058,0.510%,1.103%,5104,56,2163713,115099,Europe
Egypt,Africa,102516525,95006,4951,0.093%,5.211%,927,48,135000,1317,MiddleEast
Ecuador,South America,17668824,90537,5877,0.512%,6.491%,5124,333,258582,14635,Americas
Bolivia,South America,11688459,86423,3465,0.739%,4.009%,7394,296,183583,15706,Americas
Sweden,Europe,10105596,81967,5766,0.811%,7.035%,8111,571,863315,85429,Europe
Oman,Asia,5118446,80713,492,1.577%,0.610%,15769,96,309212,60411,MiddleEast
Israel,Asia,9197590,79559,576,0.865%,0.724%,8650,63,1872453,203581,Europe
Ukraine,Europe,43705858,76808,1819,0.176%,2.368%,1757,42,1116641,25549,Europe
Dominican Republic,North America,10858648,76536,1246,0.705%,1.628%,7048,115,281926,25963,Americas
Panama,North America,4321282,71418,1574,1.653%,2.204%,16527,364,240995,55769,Americas
Belgium,Europe,11594739,71158,9859,0.614%,13.855%,6137,850,1767120,152407,Europe
Kuwait,Asia,4276658,70045,469,1.638%,0.670%,16378,110,522200,122105,MiddleEast
Belarus,Europe,9449001,68503,580,0.725%,0.847%,7250,61,1344303,142269,Europe
UAE,Asia,9902079,61845,354,0.625%,0.572%,6246,36,5262658,531470,MiddleEast
Romania,Europe,19224023,57895,2566,0.301%,4.432%,3012,133,1319369,68631,Europe
Netherlands,Europe,17138756,56982,6153,0.332%,10.798%,3325,359,1079860,63007,Europe
Singapore,Asia,5854932,54555,27,0.932%,0.049%,9318,5,1474372,251817,WesternPacific
Guatemala,North America,17946899,54339,2119,0.303%,3.900%,3028,118,172712,9624,Americas
Portugal,Europe,10193593,52061,1743,0.511%,3.348%,5107,171,1705474,167308,Europe
Poland,Europe,37842302,49515,1774,0.131%,3.583%,1308,47,2374686,62752,Europe
Nigeria,Africa,206606300,45244,930,0.022%,2.056%,219,5,306894,1485,Africa
Honduras,North America,9919704,45098,1423,0.455%,3.155%,4546,143,109292,11018,Americas
Bahrain,Asia,1706669,42889,156,2.513%,0.364%,25130,91,876700,513691,MiddleEast
Japan,Asia,126435859,42263,1026,0.033%,2.428%,334,8,938739,7425,WesternPacific
Armenia,Asia,2963811,39819,772,1.344%,1.939%,13435,260,171600,57898,Europe
Ghana,Africa,31133483,39642,199,0.127%,0.502%,1273,6,405817,13035,Africa
Kyrgyzstan,Asia,6534479,38659,1447,0.592%,3.743%,5916,221,267718,40970,Europe
Afghanistan,Asia,39009447,36896,1298,0.095%,3.518%,946,33,90396,2317,MiddleEast
Switzerland,Europe,8660952,36108,1985,0.417%,5.497%,4169,229,822764,94997,Europe
Algeria,Africa,43926079,33626,1273,0.077%,3.786%,766,29,,,Africa
Azerbaijan,Asia,10148243,33247,479,0.328%,1.441%,3276,47,766179,75499,Europe
Morocco,Africa,36953359,29644,449,0.080%,1.515%,802,12,1383816,37448,MiddleEast
Uzbekistan,Asia,33516027,28315,175,0.084%,0.618%,845,5,1377915,41112,Europe
Serbia,Europe,8733665,27332,621,0.313%,2.272%,3129,71,723137,82799,Europe
Moldova,Europe,4032983,26628,828,0.660%,3.110%,6603,205,128076,31757,Europe
Ireland,Europe,4943200,26372,1768,0.534%,6.704%,5335,358,652917,132084,Europe
Kenya,Africa,53881160,24411,399,0.045%,1.635%,453,7,335318,6223,Africa
Venezuela,South America,28427499,22299,195,0.078%,0.874%,784,7,1567431,55138,Americas
Nepal,Asia,29186486,21750,65,0.075%,0.299%,745,2,731977,25079,South-EastAsia
Austria,Europe,9011577,21696,719,0.241%,3.314%,2408,80,937275,104008,Europe
Costa Rica,North America,5098730,21070,200,0.413%,0.949%,4132,39,96110,18850,Americas
Ethiopia,Africa,115223736,20900,365,0.018%,1.746%,181,3,468814,4069,Africa
Australia,Australia/Oceania,25528864,19890,255,0.078%,1.282%,779,10,4631419,181419,WesternPacific
El Salvador,North America,6489514,19126,513,0.295%,2.682%,2947,79,251271,38720,Americas
Czechia,Europe,10711019,17731,390,0.166%,2.200%,1655,36,728670,68030,Europe
Cameroon,Africa,26606188,17718,391,0.067%,2.207%,666,15,149000,5600,Africa
Ivory Coast,Africa,26437950,16447,103,0.062%,0.626%,622,4,104584,3956,Africa
S. Korea,Asia,51273732,14519,303,0.028%,2.087%,283,6,1613652,31471,WesternPacific
Denmark,Europe,5794279,14306,617,0.247%,4.313%,2469,106,1654512,285542,Europe
Palestine,Asia,5112340,13398,92,0.262%,0.687%,2621,18,200280,39176,MiddleEast
Bosnia and Herzegovina,Europe,3278650,13396,384,0.409%,2.867%,4086,117,147021,44842,Europe
Bulgaria,Europe,6942854,13014,435,0.187%,3.343%,1874,63,294087,42358,Europe
Madagascar,Africa,27755708,12526,134,0.045%,1.070%,451,5,46301,1668,Africa
Sudan,Africa,43943536,11780,763,0.027%,6.477%,268,17,401,9,MiddleEast
North Macedonia,Europe,2083365,11399,517,0.547%,4.535%,5471,248,109946,52773,Europe
Senegal,Africa,16783877,10715,223,0.064%,2.081%,638,13,114761,6838,Africa
Norway,Europe,5425471,9468,256,0.175%,2.704%,1745,47,472841,87152,Europe
DRC,Africa,89802183,9309,215,0.010%,2.310%,104,2,,,Africa
Malaysia,Asia,32406372,9038,125,0.028%,1.383%,279,4,991333,30591,WesternPacific
French Guiana,South America,299385,8127,47,2.715%,0.578%,27146,157,41412,138324,Americas
Gabon,Africa,2230563,7787,51,0.349%,0.655%,3491,23,85369,38272,Africa
Tajikistan,Asia,9557468,7665,62,0.080%,0.809%,802,6,,,Europe
Guinea,Africa,13164905,7664,49,0.058%,0.639%,582,4,14407,1094,Africa
Haiti,North America,11416103,7544,171,0.066%,2.267%,661,15,18443,1616,Americas
Finland,Europe,5541604,7532,331,0.136%,4.395%,1359,60,389500,70287,Europe
Zambia,Africa,18430129,7164,199,0.039%,2.778%,389,11,90307,4900,Africa
Luxembourg,Europe,626952,7073,119,1.128%,1.682%,11282,190,623994,995282,Europe
Mauritania,Africa,4660728,6444,157,0.138%,2.436%,1383,34,57387,12313,Africa
Paraguay,South America,7141091,6375,66,0.089%,1.035%,893,9,135277,18943,Americas
Albania,Europe,2877470,6016,188,0.209%,3.125%,2091,65,38997,13553,Europe
Lebanon,Asia,6822220,5672,70,0.083%,1.234%,831,10,345268,50609,MiddleEast
Croatia,Europe,4102577,5404,155,0.132%,2.868%,1317,38,125317,30546,Europe
Djibouti,Africa,989387,5330,59,0.539%,1.107%,5387,60,59909,60552,MiddleEast
Greece,Europe,10417673,5123,210,0.049%,4.099%,492,20,619393,59456,Europe
Libya,Africa,6880353,4879,107,0.071%,2.193%,709,16,59699,8677,MiddleEast
Equatorial Guinea,Africa,1407001,4821,83,0.343%,1.722%,3426,59,44356,31525,Africa
Maldives,Asia,541448,4680,19,0.864%,0.406%,8643,35,85587,158071,South-EastAsia
CAR,Africa,4837752,4620,59,0.095%,1.277%,955,12,29589,6116,Africa
Hungary,Europe,9657785,4597,600,0.048%,13.052%,476,62,352546,36504,Europe
Malawi,Africa,19174839,4491,137,0.023%,3.051%,234,7,33466,1745,Africa
Zimbabwe,Africa,14883803,4339,84,0.029%,1.936%,292,6,140421,9434,Africa
Nicaragua,North America,6632263,3902,123,0.059%,3.152%,588,19,,,Americas
Hong Kong,Asia,7503041,3850,46,0.051%,1.195%,513,6,692430,92287,WesternPacific
Congo,Africa,5530506,3546,58,0.064%,1.636%,641,10,,,Africa
Montenegro,Europe,628074,3480,60,0.554%,1.724%,5541,96,38427,61182,Europe
Thailand,Asia,69817894,3330,58,0.005%,1.742%,48,0.8,749213,10731,South-EastAsia
Somalia,Africa,15933012,3227,93,0.020%,2.882%,203,6,,,MiddleEast
Mayotte,Africa,273419,3042,39,1.113%,1.282%,11126,143,13000,47546,Africa
Eswatini,Africa,1161348,2968,55,0.256%,1.853%,2556,47,20784,17896,Africa
Sri Lanka,Asia,21422362,2839,11,0.013%,0.387%,133,0.5,166737,7783,South-EastAsia
Cuba,North America,11325899,2775,88,0.025%,3.171%,245,8,285471,25205,Americas
Cabo Verde,Africa,556581,2734,27,0.491%,0.988%,4912,49,61633,110735,Africa
Namibia,Africa,2545264,2652,15,0.104%,0.566%,1042,6,29233,11485,Africa
Mali,Africa,20302901,2552,124,0.013%,4.859%,126,6,25152,1239,Africa
Slovakia,Europe,5459915,2480,29,0.045%,1.169%,454,5,272322,49877,Europe
South Sudan,Africa,11206572,2450,47,0.022%,1.918%,219,4,12044,1075,Africa
Slovenia,Europe,2078968,2223,125,0.107%,5.623%,1069,60,135702,65274,Europe
Lithuania,Europe,2718121,2171,81,0.080%,3.731%,799,30,540784,198955,Europe
Estonia,Europe,1326627,2124,63,0.160%,2.966%,1601,47,122880,92626,Europe
Mozambique,Africa,31333962,2120,15,0.007%,0.708%,68,0.5,65151,2079,Africa
Rwanda,Africa,12981546,2111,5,0.016%,0.237%,163,0.4,286251,22051,Africa
Suriname,South America,587154,2096,29,0.357%,1.384%,3570,49,2785,4743,Americas
Guinea-Bissau,Africa,1972277,2032,27,0.103%,1.329%,1030,14,1500,761,Africa
Benin,Africa,12151976,1936,38,0.016%,1.963%,159,3,93677,7709,Africa
Iceland,Europe,341465,1930,10,0.565%,0.518%,5652,29,149693,438385,Europe
Sierra Leone,Africa,7992169,1877,67,0.023%,3.570%,235,8,,,Africa
Yemen,Asia,29886897,1768,508,0.006%,28.733%,59,17,120,4,MiddleEast
Tunisia,Africa,11830801,1642,51,0.014%,3.106%,139,4,100298,8478,MiddleEast
New Zealand,Australia/Oceania,5002100,1569,22,0.031%,1.402%,314,4,486943,97348,WesternPacific
Angola,Africa,32956300,1483,64,0.004%,4.316%,45,2,64747,1965,Africa
Uruguay,South America,3474956,1318,37,0.038%,2.807%,379,11,126956,36535,Americas
Latvia,Europe,1883936,1275,32,0.068%,2.510%,677,17,207909,110359,Europe
Jordan,Asia,10213138,1232,11,0.012%,0.893%,121,1,628745,61562,MiddleEast
Liberia,Africa,5068618,1224,78,0.024%,6.373%,241,15,,,Africa
Uganda,Africa,45867852,1223,5,0.003%,0.409%,27,0.1,288367,6287,Africa
Cyprus,Asia,1208238,1208,19,0.100%,1.573%,1000,16,216597,179267,Europe
Georgia,Asia,3988368,1206,17,0.030%,1.410%,302,4,240473,60294,Europe
Burkina Faso,Africa,20954852,1158,54,0.006%,4.663%,55,3,,,Africa
Niger,Africa,24281433,1153,69,0.005%,5.984%,47,3,9052,373,Africa
Togo,Africa,8296582,1012,22,0.012%,2.174%,122,3,45767,5516,Africa
Syria,Asia,17539600,999,48,0.006%,4.805%,57,3,,,MiddleEast
Jamaica,North America,2962478,958,12,0.032%,1.253%,323,4,41840,14123,Americas
Malta,Europe,441663,946,9,0.214%,0.951%,2142,20,136713,309541,Europe
Andorra,Europe,77278,944,52,1.222%,5.508%,12216,673,3750,48526,Europe
Chad,Africa,16467965,942,76,0.006%,8.068%,57,5,,,Africa
