,Country/Region,Population,Total Cases,Total Deaths,% of Population With Covid,% of Cases that Result in Death,Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,WHO Region,Test Rate,Country Test Rate,country_flag
0,USA,331198130,5032179,162804.0,1.519%,3.235%,15194,492.0,63139605.0,190640.0,Americas,0.19063998036462343,0.19063998036462343,High Test Rate
1,Brazil,212710692,2917562,98644.0,1.372%,3.381%,13716,464.0,13206188.0,62085.0,Americas,0.0620852100843149,0.0620852100843149,Medium Test Rate
2,India,1381344997,2025409,41638.0,0.147%,2.056%,1466,30.0,22149351.0,16035.0,South-EastAsia,0.016034626431560457,0.016034626431560457,Lower Test Rate
3,Russia,145940924,871894,14606.0,0.597%,1.675%,5974,100.0,29716907.0,203623.0,Europe,0.203622850846141,0.203622850846141,High Test Rate
4,South Africa,59381566,538184,9604.0,0.906%,1.785%,9063,162.0,3149807.0,53044.0,Africa,0.053043515221541986,0.053043515221541986,Medium Test Rate
5,Mexico,129066160,462690,50517.0,0.358%,10.918%,3585,391.0,1056915.0,8189.0,Americas,0.008188939687986379,0.008188939687986379,Lower Test Rate
6,Peru,33016319,455409,20424.0,1.379%,4.485%,13793,619.0,2493429.0,75521.0,Americas,0.0755211082131839,0.0755211082131839,Medium Test Rate
7,Chile,19132514,366671,9889.0,1.916%,2.697%,19165,517.0,1760615.0,92022.0,Americas,0.09202214617483097,0.09202214617483097,Medium Test Rate
8,Colombia,50936262,357710,11939.0,0.702%,3.338%,7023,234.0,1801835.0,35374.0,Americas,0.03537430760034963,0.03537430760034963,Medium Test Rate
9,Spain,46756648,354530,28500.0,0.758%,8.039%,7582,610.0,7064329.0,151087.0,Europe,0.15108715663278513,0.15108715663278513,High Test Rate
10,Iran,84097623,320117,17976.0,0.381%,5.615%,3806,214.0,2612763.0,31068.0,MiddleEast,0.03106821461529299,0.03106821461529299,Medium Test Rate
