Country/Region,Population,Total Cases,Total Deaths,% of Population With Covid,% of Cases that Result in Death,Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,WHO Region,Country Test Rate,country_flag
USA,331198130,5032179,162804,1.52%,3.24%,15194,492,63139605,190640,Americas,0.19063998,High Test Rate
Brazil,212710692,2917562,98644,1.37%,3.38%,13716,464,13206188,62085,Americas,0.06208521,Medium Test Rate
India,1381344997,2025409,41638,0.15%,2.06%,1466,30,22149351,16035,South-EastAsia,0.016034626,Lower Test Rate
Russia,145940924,871894,14606,0.60%,1.68%,5974,100,29716907,203623,Europe,0.203622851,High Test Rate
South Africa,59381566,538184,9604,0.91%,1.79%,9063,162,3149807,53044,Africa,0.053043515,Medium Test Rate
Mexico,129066160,462690,50517,0.36%,10.92%,3585,391,1056915,8189,Americas,0.00818894,Lower Test Rate
Peru,33016319,455409,20424,1.38%,4.49%,13793,619,2493429,75521,Americas,0.075521108,Medium Test Rate
Chile,19132514,366671,9889,1.92%,2.70%,19165,517,1760615,92022,Americas,0.092022146,Medium Test Rate
Colombia,50936262,357710,11939,0.70%,3.34%,7023,234,1801835,35374,Americas,0.035374308,Medium Test Rate
Spain,46756648,354530,28500,0.76%,8.04%,7582,610,7064329,151087,Europe,0.151087157,High Test Rate
Iran,84097623,320117,17976,0.38%,5.62%,3806,214,2612763,31068,MiddleEast,0.031068215,Medium Test Rate
UK,67922029,308134,46413,0.45%,15.06%,4537,683,17515234,257873,Europe,0.257872656,High Test Rate
Saudi Arabia,34865919,284226,3055,0.82%,1.08%,8152,88,3635705,104277,MiddleEast,0.104276758,High Test Rate
Pakistan,221295851,281863,6035,0.13%,2.14%,1274,27,2058872,9304,MiddleEast,0.009303708,Lower Test Rate
Bangladesh,164851401,249651,3306,0.15%,1.32%,1514,20,1225124,7432,South-EastAsia,0.007431687,Lower Test Rate
Italy,60452568,249204,35187,0.41%,14.12%,4122,582,7099713,117443,Europe,0.117442703,High Test Rate
Turkey,84428331,237265,5798,0.28%,2.44%,2810,69,5081802,60191,Europe,0.06019072,Medium Test Rate
Argentina,45236884,228195,4251,0.50%,1.86%,5044,94,794544,17564,Americas,0.017564074,Lower Test Rate
Germany,83811260,215210,9252,0.26%,4.30%,2568,110,8586648,102452,Europe,0.1024522,High Test Rate
France,65288306,195633,30312,0.30%,15.49%,2996,464,3992206,61147,Europe,0.061147336,Medium Test Rate
Iraq,40306025,140603,5161,0.35%,3.67%,3488,128,1092741,27111,MiddleEast,0.027111108,Lower Test Rate
Philippines,109722719,119460,2150,0.11%,1.80%,1089,20,1669996,15220,WesternPacific,0.015220148,Lower Test Rate
Indonesia,273808365,118753,5521,0.04%,4.65%,434,20,1633156,5965,South-EastAsia,0.005964595,Lower Test Rate
Canada,37775022,118561,8966,0.31%,7.56%,3139,237,4319172,114339,Americas,0.114339364,High Test Rate
Qatar,2807805,112092,178,3.99%,0.16%,39922,63,511000,181993,MiddleEast,0.181992695,High Test Rate
Kazakhstan,18798667,95942,1058,0.51%,1.10%,5104,56,2163713,115099,Europe,0.115099278,High Test Rate
Egypt,102516525,95006,4951,0.09%,5.21%,927,48,135000,1317,MiddleEast,0.001316861,Lower Test Rate
Ecuador,17668824,90537,5877,0.51%,6.49%,5124,333,258582,14635,Americas,0.01463493,Lower Test Rate
Bolivia,11688459,86423,3465,0.74%,4.01%,7394,296,183583,15706,Americas,0.015706348,Lower Test Rate
Sweden,10105596,81967,5766,0.81%,7.04%,8111,571,863315,85429,Europe,0.0854294,Medium Test Rate
Oman,5118446,80713,492,1.58%,0.61%,15769,96,309212,60411,MiddleEast,0.060411305,Medium Test Rate
Israel,9197590,79559,576,0.87%,0.72%,8650,63,1872453,203581,Europe,0.203580829,High Test Rate
Ukraine,43705858,76808,1819,0.18%,2.37%,1757,42,1116641,25549,Europe,0.025549001,Lower Test Rate
Dominican Republic,10858648,76536,1246,0.71%,1.63%,7048,115,281926,25963,Americas,0.025963269,Lower Test Rate
Panama,4321282,71418,1574,1.65%,2.20%,16527,364,240995,55769,Americas,0.05576933,Medium Test Rate
Belgium,11594739,71158,9859,0.61%,13.86%,6137,850,1767120,152407,Europe,0.152407053,High Test Rate
Kuwait,4276658,70045,469,1.64%,0.67%,16378,110,522200,122105,MiddleEast,0.12210469,High Test Rate
Belarus,9449001,68503,580,0.73%,0.85%,7250,61,1344303,142269,Europe,0.142269326,High Test Rate
UAE,9902079,61845,354,0.63%,0.57%,6246,36,5262658,531470,MiddleEast,0.531470007,High Test Rate
Romania,19224023,57895,2566,0.30%,4.43%,3012,133,1319369,68631,Europe,0.068631264,Medium Test Rate
Netherlands,17138756,56982,6153,0.33%,10.80%,3325,359,1079860,63007,Europe,0.063006907,Medium Test Rate
Singapore,5854932,54555,27,0.93%,0.05%,9318,5,1474372,251817,WesternPacific,0.251817101,High Test Rate
Guatemala,17946899,54339,2119,0.30%,3.90%,3028,118,172712,9624,Americas,0.009623501,Lower Test Rate
Portugal,10193593,52061,1743,0.51%,3.35%,5107,171,1705474,167308,Europe,0.167308426,High Test Rate
Poland,37842302,49515,1774,0.13%,3.58%,1308,47,2374686,62752,Europe,0.062752155,Medium Test Rate
Nigeria,206606300,45244,930,0.02%,2.06%,219,5,306894,1485,Africa,0.001485405,Lower Test Rate
Honduras,9919704,45098,1423,0.46%,3.16%,4546,143,109292,11018,Americas,0.011017667,Lower Test Rate
Bahrain,1706669,42889,156,2.51%,0.36%,25130,91,876700,513691,MiddleEast,0.513690704,High Test Rate
Japan,126435859,42263,1026,0.03%,2.43%,334,8,938739,7425,WesternPacific,0.007424626,Lower Test Rate
Armenia,2963811,39819,772,1.34%,1.94%,13435,260,171600,57898,Europe,0.057898429,Medium Test Rate
Ghana,31133483,39642,199,0.13%,0.50%,1273,6,405817,13035,Africa,0.013034745,Lower Test Rate
Kyrgyzstan,6534479,38659,1447,0.59%,3.74%,5916,221,267718,40970,Europe,0.040970061,Medium Test Rate
Afghanistan,39009447,36896,1298,0.10%,3.52%,946,33,90396,2317,MiddleEast,0.002317285,Lower Test Rate
Switzerland,8660952,36108,1985,0.42%,5.50%,4169,229,822764,94997,Europe,0.094996947,Medium Test Rate
Azerbaijan,10148243,33247,479,0.33%,1.44%,3276,47,766179,75499,Europe,0.075498685,Medium Test Rate
